,,,,,Games,Games,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Tackles,Tackles,Tackles
Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
316,Avonte Maddox\MaddAv00,PHI,22,rcb,13,9,2,42,19,45.2%,243,12.8,5.8,1,52.0,12.1,183,60,2,0,0,0.5,1,35,4,10.3%
317,Romeo Okwara\OkwaRo01,DET,23,LDE,15,14,0,3,1,33.3%,23,23.0,7.7,0,61.8,1.0,1,22,11,9,6,7.5,23,39,2,4.9%
318,Dalvin Tomlinson\TomlDa00,NYG,24,RDE,16,16,0,2,1,50.0%,14,14.0,7.0,0,72.9,2.5,8,6,0,8,0,0.0,8,59,1,1.7%
319,Damien Wilson\WilsDa02,DAL,25,LLB,16,7,0,21,16,76.2%,170,10.6,8.1,2,131.1,5.8,66,104,15,3,0,1.0,4,37,8,17.8%
320,Allen Bailey\BailAl00,KAN,29,LDE,16,13,0,1,1,100.0%,-2,-2.0,-2.0,0,79.2,-4.0,-4,2,0,8,3,6.0,17,38,9,19.1%
321,Preston Brown\BrowPr00,CIN,26,MLB,7,7,2,24,17,70.8%,156,9.2,6.5,0,53.5,2.8,45,111,11,2,0,0.0,2,42,1,2.3%
322,Reggie Gilbert\GilbRe01,GNB,25,,16,0,0,5,4,80.0%,32,8.0,6.4,0,93.3,3.6,16,16,31,10,5,2.5,18,38,6,13.6%
323,Eddie Goldman\GoldEd00,CHI,24,NT,16,16,0,0,0,,0,,,0,,,0,0,0,5,0,3.0,8,40,0,0.0%
324,Sam Hubbard\HubbSa00,CIN,23,,16,0,0,5,4,80.0%,52,13.0,10.4,1,149.6,-0.8,0,52,1,5,2,6.0,13,39,6,13.3%
325,Grady Jarrett\JarrGr00,ATL,25,RDT,14,14,0,1,1,100.0%,5,5.0,5.0,0,87.5,3.0,3,2,0,14,7,6.0,28,52,4,7.1%
326,Jayron Kearse\KearJa00,MIN,24,,16,1,0,17,12,70.6%,80,6.7,4.7,0,80.5,3.3,28,52,1,0,0,0.5,1,32,1,3.0%
327,Cassius Marsh\MarsCa00,SFO,26,,16,3,0,11,7,63.6%,51,7.3,4.6,0,74.4,5.4,19,32,6,18,7,5.5,31,38,3,7.3%
328,Antonio Morrison\MorrAn01,GNB,24,RILB,16,8,0,12,10,83.3%,91,9.1,7.6,0,98.3,3.8,41,50,14,0,1,1.0,2,48,7,12.7%
329,Jordan Richards\RichJo00,ATL,25,FS,15,12,0,30,21,70.0%,239,11.4,8.0,1,104.7,4.6,53,186,4,0,1,0.0,1,39,5,11.4%
330,Stephon Tuitt\TuitSt00,PIT,25,RDE,14,14,0,1,1,100.0%,8,8.0,8.0,0,100.0,2.0,2,6,0,14,12,5.5,32,45,2,4.3%
331,Leonard Williams\WillLe02,NYJ,24,LDE,16,16,0,0,0,,0,,,0,,,0,0,0,8,12,5.0,26,42,10,19.2%
332,Tae Davis\DaviTa00,NYG,22,,14,4,0,23,17,73.9%,198,11.6,8.6,1,114.0,4.7,103,95,14,1,2,2.0,5,33,7,17.5%
333,Neville Hewitt\HewiNe00,NYJ,25,,16,4,0,22,13,59.1%,156,12.0,7.1,1,96.0,5.4,70,86,10,0,0,1.5,2,39,4,9.3%
334,Maurice Hurst Jr.\HursMa00,OAK,23,LDT,13,10,0,1,1,100.0%,0,0.0,0.0,0,79.2,-1.0,-1,1,0,2,0,4.0,6,31,0,0.0%
335,Sheldon Rankins\RankSh00,NOR,24,LDT,16,16,0,6,5,83.3%,28,5.6,4.7,0,86.1,1.8,6,22,0,12,5,8.0,25,40,3,7.0%
336,Sheldon Richardson\RichSh00,MIN,28,LDT,16,16,0,0,0,,0,,,0,,,0,0,0,12,7,4.5,25,49,4,7.5%
337,Za'Darius Smith\SmitZa00,BAL,26,rolb,16,8,0,8,5,62.5%,49,9.8,6.1,0,79.7,1.6,8,41,49,12,13,8.5,35,45,2,4.3%
338,Charvarius Ward\WardCh01,KAN,22,,13,2,0,19,15,78.9%,182,12.1,9.6,1,124.1,11.1,156,26,0,0,0,0.0,0,30,0,0.0%
339,Ramik Wilson\WilsRa00,LAR,26,,16,4,0,16,11,68.8%,84,7.6,5.3,0,81.2,1.1,16,68,3,0,0,0.0,0,35,1,2.8%
340,Michael Bennett\BennMi99,PHI,33,LDE,16,10,0,2,2,100.0%,13,6.5,6.5,0,93.7,1.5,3,10,0,18,18,9.0,46,34,5,12.8%
341,Samson Ebukam\EbukSa00,LAR,23,LILB,16,14,1,13,8,61.5%,34,4.3,2.6,0,33.8,1.7,-11,45,79,19,4,3.0,26,40,11,21.6%
342,Reuben Foster\FostRe00,SFO,24,RLB,6,6,0,24,16,66.7%,178,11.1,7.4,1,102.4,5.2,61,117,20,0,2,0.0,2,29,10,25.6%
343,Markus Golden\GoldMa00,ARI,27,LDE,11,11,0,0,0,,0,,,0,,,0,0,3,6,4,2.5,13,30,1,3.2%
344,Adam Gotsis\GotsAd00,DEN,26,RDE,16,12,0,0,0,,0,,,0,,,0,0,0,2,4,3.0,9,38,2,5.0%
345,Lawrence Guy\GuyxLa00,NWE,28,LDT,16,15,0,1,0,0.0%,0,,0.0,0,39.6,-5.0,0,0,0,3,9,1.0,13,59,2,3.3%
346,Nate Hairston\HairNa00,IND,24,rcb,13,7,0,30,22,73.3%,257,11.7,8.6,1,110.0,7.9,157,100,3,0,0,0.0,0,30,4,11.8%
347,Xavien Howard*\HowaXa00,MIA,25,LCB,12,12,7,63,33,52.4%,433,13.1,6.9,5,61.2,14.4,253,180,2,0,0,0.0,0,35,6,14.6%
348,Malik Jackson\JackMa02,JAX,28,RDT,16,10,0,2,2,100.0%,28,14.0,14.0,0,118.7,3.5,7,21,0,9,8,3.5,21,32,5,13.5%
349,Reggie Nelson\NelsRe99,OAK,35,FS,11,7,2,22,15,68.2%,289,19.3,13.1,2,103.4,17.1,230,59,11,0,0,0.0,0,29,7,19.4%
350,Yannick Ngakoue\NgakYa00,JAX,23,LDE,16,16,0,4,2,50.0%,7,3.5,1.8,0,56.2,0.5,0,7,8,21,20,9.5,51,28,7,20.0%
351,Alex Okafor\OkafAl00,NOR,27,RDE,16,16,0,2,0,0.0%,8,,4.0,0,43.7,1.5,3,5,6,13,5,4.0,22,36,3,7.7%
352,Will Parks\ParkWi01,DEN,24,,16,3,1,28,18,64.3%,191,10.6,6.8,0,69.2,9.2,109,82,25,0,2,0.0,2,41,7,14.6%
353,Robert Quinn\QuinRo00,MIA,28,RDE,16,16,0,0,0,,0,,,0,,,0,0,0,13,8,6.5,28,38,5,11.6%
354,Nickell Robey-Coleman\RobeNi00,LAR,26,,16,1,1,58,38,65.5%,295,7.8,5.1,3,87.9,5.4,101,194,0,0,0,0.0,0,37,7,15.9%
355,Terrell Suggs\SuggTe99,BAL,36,LOLB,16,16,0,10,6,60.0%,75,12.5,7.5,0,83.3,1.8,20,55,86,24,5,7.0,37,34,8,19.0%
356,Xavier Williams\WillXa00,KAN,26,,16,4,0,0,0,,0,,,0,,,0,0,0,1,1,2.5,5,47,5,9.6%
357,Shareece Wright\WrigSh00,HOU,31,,12,5,0,56,36,64.3%,437,12.1,7.8,4,112.0,12.1,262,175,0,0,0,0.0,0,32,6,15.8%
358,Geno Atkins*\AtkiGe99,CIN,30,RDT,16,16,0,0,0,,0,,,0,,,0,0,1,16,9,10.0,35,45,2,4.3%
359,Ronald Blair\BlaiRo00,SFO,25,,16,0,0,1,1,100.0%,4,4.0,4.0,0,83.3,-1.0,-1,5,0,8,6,5.5,20,36,3,7.7%
360,Gareon Conley\ConlGa00,OAK,23,RCB,15,14,3,59,36,61.0%,536,14.9,9.1,4,92.2,11.3,277,259,0,0,0,0.0,0,37,4,9.8%
361,Brandon Copeland\CopeBr00,NYJ,27,LOLB,16,10,0,5,3,60.0%,32,10.7,6.4,0,78.7,0.6,-1,33,39,14,8,5.0,27,35,4,10.3%
362,Mike Ford\FordMi01,DET,23,,7,4,0,37,25,67.6%,443,17.7,12.0,1,117.3,12.0,280,163,0,0,0,0.0,0,25,2,7.4%
363,Marcell Harris\HarrMa03,SFO,24,ss,8,5,0,15,12,80.0%,110,9.2,7.3,2,136.8,7.1,61,49,8,3,0,0.0,3,34,8,19.0%
364,Ronnie Harrison\HarrRo02,JAX,21,DB,14,8,1,18,14,77.8%,97,6.9,5.4,0,66.0,3.5,43,54,8,0,0,1.0,1,32,3,8.6%
365,Dont'a Hightower\HighDo01,NWE,28,LLB,15,15,1,35,25,71.4%,236,9.4,6.7,1,87.3,4.3,90,146,105,8,3,1.0,12,48,4,7.7%
366,Jordan Jenkins\JenkJo01,NYJ,24,ROLB,16,11,0,10,9,90.0%,118,13.1,11.8,1,149.2,3.0,25,93,58,9,5,7.0,22,35,2,5.4%
367,Harold Landry\LandHa00,TEN,22,,15,3,0,7,5,71.4%,36,7.2,5.1,0,83.0,0.6,1,35,26,14,7,4.5,26,44,7,13.7%
368,Sherrick McManis\McMaSh99,CHI,31,,15,0,1,33,18,54.5%,148,8.2,4.5,1,63.7,10.3,77,71,13,2,1,1.0,4,26,2,7.1%
369,Emmanuel Ogbah\OgbaEm00,CLE,25,RDE,14,14,0,0,0,,0,,,0,,,0,0,3,17,4,3.0,26,40,4,9.1%
370,Teez Tabor\TaboTe00,DET,23,,12,4,0,27,17,63.0%,335,19.7,12.4,3,143.3,13.0,266,69,1,0,0,0.0,0,28,1,3.4%
371,Solomon Thomas\ThomSo00,SFO,23,LDE,16,13,0,1,1,100.0%,22,22.0,22.0,0,118.7,15.0,15,7,0,13,5,1.0,19,31,6,16.2%
372,Levi Wallace\WallLe00,BUF,23,RCB,7,7,0,26,13,50.0%,123,9.5,4.7,1,76.3,8.5,100,23,2,0,1,0.0,1,37,4,9.8%
373,Kerry Wynn\WynnKe00,NYG,27,de,14,5,0,1,1,100.0%,2,2.0,2.0,0,79.2,-3.0,-3,5,0,8,0,1.5,10,39,4,9.3%
374,Matthew Adams\AdamMa00,IND,23,DB,16,5,0,12,10,83.3%,150,15.0,12.5,0,118.7,3.9,49,101,8,2,3,0.0,5,33,4,10.8%
375,Marcell Dareus\DareMa00,JAX,28,LDT,15,15,0,1,1,100.0%,18,18.0,18.0,0,118.7,-9.0,-9,27,0,4,1,1.0,6,32,5,13.5%
376,Clayton Fejedelem\FejeCl00,CIN,25,,16,1,0,12,10,83.3%,144,14.4,12.0,1,144.4,13.0,91,53,5,0,1,0.0,1,35,2,5.4%
377,Dante Fowler\FowlDa00,2TM,24,,15,6,0,4,2,50.0%,13,6.5,3.3,0,57.3,-0.5,5,8,16,16,4,4.0,24,30,5,14.3%
378,Shelby Harris\HarrSh00,DEN,27,,16,0,1,2,1,50.0%,-5,-5.0,-2.5,0,16.7,-4.0,-10,5,0,1,5,1.5,8,39,3,7.1%
379,Matthew Ioannidis\IoanMa01,WAS,24,RDE,14,9,0,0,0,,0,,,0,,,0,0,0,5,3,7.5,16,31,1,3.1%
380,Anthony Levine\LeviAn00,BAL,31,,16,0,1,25,18,72.0%,151,8.4,6.0,1,83.9,5.9,65,86,41,1,0,1.0,2,28,2,6.7%
381,Doug Middleton\MiddDo01,NYJ,25,,7,4,0,10,5,50.0%,97,19.4,9.7,2,123.7,15.5,72,25,3,0,0,0.0,0,27,1,3.6%
382,David Onyemata\OnyeDa00,NOR,26,,16,4,0,0,0,,0,,,0,,,0,0,0,10,0,4.5,15,35,2,5.4%
383,D.J. Reader\ReadD.00,HOU,24,RDE,16,16,0,0,0,,0,,,0,,,0,0,0,4,1,2.0,7,33,4,10.8%
384,Frostee Rucker\RuckFr99,OAK,35,LDE,15,15,0,2,1,50.0%,5,5.0,2.5,0,56.2,8.5,-3,8,0,6,3,0.0,9,37,6,14.0%
385,Akeem Spence\SpenAk00,MIA,27,RDT,16,16,0,2,1,50.0%,11,11.0,5.5,0,66.7,-1.5,-3,14,0,7,5,2.0,14,42,4,8.7%
386,Olivier Vernon*\VernOl00,NYG,28,ROLB,11,11,0,1,1,100.0%,0,0.0,0.0,0,79.2,-5.0,-5,5,15,8,13,7.0,29,30,1,3.2%
387,Stephen Weatherly\WeatSt00,MIN,24,rde,16,6,0,1,0,0.0%,0,,0.0,0,39.6,17.0,0,0,0,9,4,3.0,16,35,5,12.5%
388,Henry Anderson\AndeHe00,NYJ,27,,16,3,0,2,1,50.0%,0,0.0,0.0,0,56.2,-1.5,0,0,0,10,2,7.0,20,35,3,7.9%
389,Shaquil Barrett\BarrSh00,DEN,26,,13,0,0,8,6,75.0%,68,11.3,8.5,0,100.0,10.8,42,26,37,2,4,3.0,9,28,2,6.7%
390,Andrew Billings\BillAn00,CIN,23,LDT,16,16,0,0,0,,0,,,0,,,0,0,0,6,4,2.5,13,32,3,8.6%
391,Kurt Coleman\ColeKu99,NOR,30,SS,16,9,0,13,11,84.6%,108,9.8,8.3,1,126.9,4.5,35,73,14,2,0,0.0,2,32,5,13.5%
392,Aaron Colvin\ColvAa00,HOU,27,,10,2,0,30,22,73.3%,205,9.3,6.8,1,102.8,5.1,107,98,6,0,0,0.0,0,29,2,6.5%
393,Javien Elliott\ElliJa01,TAM,25,db,15,5,1,29,24,82.8%,193,8.0,6.7,0,80.0,6.1,109,84,16,0,1,0.0,1,24,5,17.2%
394,Everson Griffen\GrifEv99,MIN,31,RDE,11,10,0,1,0,0.0%,0,,0.0,0,39.6,15.0,0,0,0,9,3,5.5,19,33,6,15.4%
395,Leon Hall\HallLe98,OAK,34,,10,4,0,20,16,80.0%,181,11.3,9.1,0,104.4,5.8,74,107,10,0,1,0.0,1,25,3,10.7%
396,Da'Shawn Hand\HandDa00,DET,23,RDE,13,8,0,0,0,,0,,,0,,,0,0,0,6,0,3.0,9,27,1,3.6%
397,Margus Hunt\HuntMa00,IND,31,RDE,15,15,0,1,1,100.0%,-8,-8.0,-8.0,0,79.2,-8.0,-8,0,0,6,2,5.0,13,30,1,3.2%
398,J.C. Jackson\JackJ.00,NWE,23,db,13,5,3,45,22,48.9%,256,11.6,5.7,0,38.8,14.4,185,71,0,0,0,0.0,0,24,1,4.0%
399,Cre'von LeBlanc\LeBlCr01,2TM,24,,11,4,0,42,27,64.3%,349,12.9,8.3,1,98.2,7.2,171,178,3,0,0,0.0,0,27,3,10.0%
400,Jordan Lucas\LucaJo00,KAN,25,,16,4,1,13,8,61.5%,106,13.3,8.2,2,94.9,11.2,74,32,3,1,0,1.0,2,32,4,11.1%
401,Brandon Marshall\MarsBr01,DEN,29,rilb,11,7,0,28,17,60.7%,176,10.4,6.3,0,78.9,4.1,81,95,25,0,0,0.0,0,42,5,10.6%
402,Kareem Martin\MartKa00,NYG,26,LOLB,16,7,0,7,6,85.7%,51,8.5,7.3,0,97.0,2.4,19,32,27,6,8,1.5,16,48,8,14.3%
403,Torry McTyer\McTyTo00,MIA,23,,15,4,0,35,26,74.3%,413,15.9,11.8,2,132.2,11.6,290,123,2,0,0,0.0,0,30,3,9.1%
404,Brandon Mebane\MebaBr99,LAC,33,RDT,12,12,0,1,0,0.0%,0,,0.0,0,39.6,-9.0,0,0,0,0,2,1.0,3,40,1,2.4%
405,Whitney Mercilus\MercWh00,HOU,28,LOLB,16,9,0,22,18,81.8%,162,9.0,7.4,0,97.3,3.5,55,107,89,13,7,4.0,26,39,8,17.0%
406,Mike Mitchell\MitcMi99,IND,31,,8,4,1,12,10,83.3%,74,7.4,6.2,0,57.6,7.3,58,16,3,0,0,0.0,0,28,3,9.7%
407,Carl Nassib\NassCa00,TAM,25,LDE,15,9,0,2,0,0.0%,0,,0.0,0,39.6,5.0,0,0,1,7,7,6.5,21,29,5,14.7%
408,Robert Nkemdiche\NkemRo00,ARI,24,rdt,10,6,0,0,0,,0,,,0,,,0,0,0,2,4,4.5,11,32,2,5.9%
409,George Odum\OdumGe00,IND,25,,16,2,1,12,8,66.7%,117,14.6,9.8,0,63.5,9.2,72,45,4,1,0,0.0,1,37,4,9.8%
410,Malcolm Smith\SmitMa02,SFO,29,rlb,12,5,0,17,11,64.7%,123,11.2,7.2,1,105.8,4.6,76,47,18,0,3,0.0,3,35,5,12.5%
411,Kyle Williams*\WillKy20,BUF,35,LDT,16,16,0,1,0,0.0%,0,,0.0,0,39.6,-5.0,0,0,0,9,6,5.0,22,35,4,10.3%
412,Kyle Emanuel\EmanKy00,LAC,27,rlb,16,7,0,13,10,76.9%,105,10.5,8.1,1,125.5,5.2,41,64,5,0,0,1.0,1,30,5,14.3%
413,Johnathan Hankins\HankJo00,OAK,26,RDT,15,14,0,1,1,100.0%,7,7.0,7.0,0,95.8,-2.0,-2,9,0,2,2,0.0,4,36,8,18.2%
414,Abry Jones\JoneAb00,JAX,27,ldt,15,6,0,1,1,100.0%,-1,-1.0,-1.0,0,79.2,-4.0,-4,3,0,3,0,1.0,4,29,2,6.5%
415,Sidney Jones\JoneSi00,PHI,22,,9,4,0,42,26,61.9%,249,9.6,5.9,2,94.2,7.9,141,108,3,1,0,0.0,1,25,6,19.4%
416,Arden Key\KeyxAr00,OAK,22,RDE,16,10,0,3,2,66.7%,9,4.5,3.0,0,70.1,4.3,-2,11,5,10,8,1.0,19,30,6,16.7%
417,Steve McLendon\McLeSt00,NYJ,32,NT,16,14,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,34,3,8.1%
418,Dorian O'Daniel\ODanDo00,KAN,24,,16,1,0,20,16,80.0%,109,6.8,5.5,0,89.4,1.0,11,98,10,1,1,0.0,2,34,7,17.1%
419,Andrew Sendejo\SendAn00,MIN,31,ss,5,5,0,10,6,60.0%,153,25.5,15.3,1,137.5,16.0,109,44,2,0,0,0.0,0,27,0,0.0%
420,Vita Vea\VeaxVi00,TAM,23,rdt,13,8,0,0,0,,0,,,0,,,0,0,1,4,1,3.0,8,28,3,9.7%
421,Cameron Wake\WakeCa00,MIA,36,LDE,14,14,0,2,2,100.0%,29,14.5,14.5,0,118.7,-0.5,-1,30,0,19,7,6.0,33,36,4,10.0%
422,Brandon Williams*\WillBr02,BAL,29,LDE,16,16,0,0,0,,0,,,0,,,0,0,0,2,0,1.0,3,34,3,8.1%
423,Eddie Yarbrough\YarbEd01,BUF,25,,15,0,0,0,0,,0,,,0,,,0,0,1,3,0,0.0,3,29,1,3.3%
424,Mario Addison\AddiMa00,CAR,31,LDE,16,16,0,4,4,100.0%,19,4.8,4.8,0,86.5,2.0,8,11,0,9,1,9.0,20,35,4,10.3%
425,Sharif Finch\FincSh00,TEN,23,,15,0,0,5,4,80.0%,24,6.0,4.8,0,86.7,4.2,6,18,11,3,0,1.5,5,27,1,3.6%
426,DaQuan Jones\JoneDa04,TEN,27,LDE,16,16,0,1,1,100.0%,4,4.0,4.0,0,83.3,4.0,4,0,0,2,3,0.0,5,34,4,10.5%
427,Kendrick Lewis\LewiKe00,TEN,30,,13,3,0,14,9,64.3%,116,12.9,8.3,1,114.0,11.6,74,42,0,0,0,0.0,0,27,5,15.6%
428,Tarvarius Moore\MoorTa00,SFO,22,,16,2,0,25,17,68.0%,160,9.4,6.4,4,125.0,8.0,84,76,3,1,0,0.0,1,23,2,8.0%
429,Bilal Nichols\NichBi00,CHI,22,rde,14,6,0,1,1,100.0%,-1,-1.0,-1.0,0,79.2,-2.0,-2,1,0,5,1,3.0,10,28,0,0.0%
430,Isaiah Oliver\OlivIs00,ATL,22,,14,2,1,27,16,59.3%,184,11.5,6.8,2,89.1,11.1,117,67,1,0,0,0.0,0,23,0,0.0%
431,Domata Peko\PekoDo20,DEN,34,NT,16,16,0,1,1,100.0%,0,0.0,0.0,0,79.2,0.0,0,0,0,0,2,0.5,3,31,4,11.4%
432,Harrison Phillips\PhilHa00,BUF,22,,16,0,0,0,0,,0,,,0,,,0,0,0,1,1,0.0,2,35,0,0.0%
433,Michael Pierce\PierMi00,BAL,26,,14,2,0,0,0,,0,,,0,,,0,0,0,4,1,0.0,5,32,2,5.9%
434,Cameron Sutton\SuttCa00,PIT,23,,15,1,1,29,20,69.0%,297,14.9,10.2,3,122.3,13.2,233,64,10,0,2,0.0,2,22,1,4.3%
435,Quincy Wilson\WilsQu01,IND,22,db,13,5,1,40,26,65.0%,274,10.5,6.9,1,82.7,9.2,148,126,0,0,0,0.0,0,28,4,12.5%
436,Tramaine Brock\BrocTr00,DEN,30,rcb,12,5,0,43,22,51.2%,311,14.1,7.2,1,82.6,11.5,204,107,0,0,0,0.0,0,23,7,23.3%
437,Malcom Brown\BrowMa01,NWE,24,RDT,15,14,0,0,0,,0,,,0,,,0,0,0,0,1,0.0,1,39,4,9.3%
438,Jack Crawford\CrawJa00,ATL,30,LDT,16,11,1,0,0,,0,,,0,,,0,0,0,11,2,6.0,20,35,4,10.3%
439,Randy Gregory\GregRa00,DAL,26,,14,1,0,1,0,0.0%,0,,0.0,0,39.6,3.0,0,0,0,9,10,6.0,25,25,3,10.7%
440,Shaun Dion Hamilton\DionSh00,WAS,23,,16,4,0,4,3,75.0%,60,20.0,15.0,0,116.7,1.0,4,56,9,0,2,1.5,4,27,2,6.9%
441,Mike Hughes\HughMi00,MIN,21,,6,2,1,30,20,66.7%,274,13.7,9.1,2,104.0,9.8,157,117,0,0,0,0.0,0,22,4,15.4%
442,Ricky Jean-Francois\JeanRi99,DET,32,LDT,16,11,0,0,0,,0,,,0,,,0,0,0,3,0,2.0,5,30,2,6.3%
443,Tyler Lancaster\LancTy00,GNB,24,nt,12,5,0,0,0,,0,,,0,,,0,0,0,1,1,0.0,2,26,0,0.0%
444,Clinton McDonald\McDoCl99,OAK,31,,15,1,0,1,1,100.0%,-5,-5.0,-5.0,0,79.2,-5.0,-5,0,0,4,0,2.0,6,31,2,6.1%
445,Derrick Morgan\MorgDe99,TEN,29,LOLB,13,12,0,5,5,100.0%,51,10.2,10.2,0,109.2,4.6,23,28,12,11,4,0.5,16,25,4,13.8%
446,Darius Phillips\PhilDa02,CIN,23,,15,1,0,26,18,69.2%,133,7.4,5.1,0,81.1,10.2,67,66,1,0,0,0.0,0,22,3,12.0%
447,Darius Philon\PhilDa01,LAC,24,ldt,16,13,0,0,0,,0,,,0,,,0,0,0,8,4,4.0,17,33,5,13.2%
448,Tanner Vallejo\VallTa00,CLE,24,,13,1,0,7,4,57.1%,40,10.0,5.7,1,113.1,1.9,13,27,5,1,0,0.0,1,27,5,15.6%
449,Jimmie Ward\WardJi01,SFO,27,fs,9,7,0,22,12,54.5%,193,16.1,8.8,2,114.4,12.0,153,40,5,0,0,0.0,0,24,1,4.0%
450,Jermaine Whitehead\WhitJe02,2TM,25,,14,2,0,15,10,66.7%,103,10.3,6.9,1,108.5,6.3,59,44,23,1,0,1.0,2,24,4,14.3%
451,Trevor Williams\WillTr05,LAC,25,lcb,9,7,1,39,29,74.4%,394,13.6,10.1,3,121.1,11.1,269,125,0,0,0,0.0,0,23,5,17.9%
452,Jarrod Wilson\WilsJa00,JAX,24,,16,2,0,7,1,14.3%,-1,-1.0,-0.1,0,39.6,17.1,-1,0,6,1,0,0.0,1,21,0,0.0%
453,Angelo Blackson\BlacAn00,HOU,26,,16,4,0,2,1,50.0%,19,19.0,9.5,0,83.3,0.5,4,15,0,2,1,1.0,4,24,2,7.7%
454,Joey Bosa\BosaJo00,LAC,23,LDE,7,6,0,0,0,,0,,,0,,,0,0,0,8,3,5.5,17,23,3,11.5%
455,Oren Burks\BurkOr00,GNB,23,,14,4,0,9,7,77.8%,69,9.9,7.7,0,98.6,7.9,26,43,6,0,0,0.0,0,24,2,7.7%
456,Josh Harvey-Clemons\HarvJo01,WAS,24,,16,0,0,24,14,58.3%,89,6.4,3.7,0,66.1,4.5,28,61,19,1,1,1.0,3,22,4,15.4%
457,Michael Johnson\JohnMi98,CIN,31,RDE,15,15,1,0,0,,0,,,0,,,0,0,0,8,1,0.5,10,33,4,10.8%
458,Shaq Lawson\LawsSh00,BUF,24,lde,14,6,0,4,1,25.0%,14,14.0,3.5,0,41.7,7.5,10,4,0,7,7,4.0,18,30,3,9.1%
459,Parry Nickerson\NickPa00,NYJ,24,,16,2,0,34,25,73.5%,257,10.3,7.6,2,114.5,7.2,157,100,7,0,0,0.0,0,21,1,4.5%
460,Uchenna Nwosu\NwosUc00,LAC,22,,16,3,0,2,1,50.0%,8,8.0,4.0,0,60.4,9.0,1,7,18,6,4,3.5,14,28,3,9.7%
461,Mark Nzeocha\NzeoMa00,SFO,28,,16,3,0,9,7,77.8%,67,9.6,7.4,0,97.7,3.9,10,57,3,0,0,1.0,1,23,2,8.0%
462,Brian Orakpo\OrakBr99,TEN,32,ROLB,13,13,0,9,7,77.8%,49,7.0,5.4,0,89.4,4.2,19,30,21,11,2,1.5,15,28,6,17.6%
463,Isaac Rochell\RochIs00,LAC,23,,16,3,1,0,0,,0,,,0,,,0,0,0,6,1,5.0,13,29,2,6.5%
464,Sam Shields\ShieSa00,LAR,31,,16,2,1,37,25,67.6%,444,17.8,12.0,4,133.2,10.7,292,152,0,0,0,0.0,0,22,6,21.4%
465,Aqib Talib\TaliAq99,LAR,32,RCB,8,8,1,31,20,64.5%,265,13.3,8.5,0,78.0,10.0,151,114,0,0,0,0.0,0,23,1,4.2%
466,Tracy Walker\WalkTr01,DET,23,,16,0,1,13,4,30.8%,69,17.3,5.3,1,43.4,22.8,61,8,0,0,0,0.0,0,21,2,8.7%
467,David Amerson\AmerDa00,ARI,27,,6,5,1,25,13,52.0%,118,9.1,4.7,1,61.7,11.0,91,27,2,0,0,0.0,0,21,3,12.5%
468,Andre Branch\BranAn00,MIA,29,,14,1,0,1,0,0.0%,0,,0.0,0,39.6,12.0,0,0,3,8,3,1.5,13,25,6,19.4%
469,Morgan Burnett\BurnMo99,PIT,29,,11,2,0,30,16,53.3%,222,13.9,7.4,0,77.4,13.2,177,45,13,0,2,0.0,2,30,2,6.3%
470,Artie Burns\BurnAr00,PIT,23,rcb,16,6,0,25,16,64.0%,289,18.1,11.6,5,143.2,15.6,232,57,1,0,0,0.0,0,22,2,8.3%
471,Trevon Coley\ColeTr01,CLE,24,RDT,16,14,0,2,1,50.0%,5,5.0,2.5,0,56.2,3.0,5,0,0,5,0,0.5,6,39,8,17.0%
472,Tyrone Crawford\CrawTy00,DAL,29,RDE,15,15,0,1,0,0.0%,0,,0.0,0,39.6,0.0,0,0,0,7,5,5.5,19,34,3,8.1%
473,Deshazor Everett\EverDe01,WAS,26,,16,3,1,6,4,66.7%,39,9.8,6.5,0,45.1,5.7,11,28,3,0,0,0.0,0,26,4,13.3%
474,Justin Hardee\HardJu01,NOR,24,,16,0,1,14,11,78.6%,157,14.3,11.2,0,83.6,9.8,98,59,0,0,0,0.0,0,19,3,13.6%
475,Tom Johnson\JohnTo01,2TM,34,,14,1,0,0,0,,0,,,0,,,0,0,0,6,0,4.5,11,24,2,7.7%
476,Dion Jordan\JordDi00,SEA,28,,12,3,0,1,1,100.0%,7,7.0,7.0,0,95.8,-3.0,-3,10,0,7,4,1.5,13,22,1,4.3%
477,Frankie Luvu\LuvuFr00,NYJ,22,,14,1,0,6,5,83.3%,26,5.2,4.3,0,84.7,0.2,-5,31,34,9,8,3.0,20,22,7,24.1%
478,Josh Mauro\MaurJo00,NYG,27,,12,4,0,0,0,,0,,,0,,,0,0,0,6,0,1.0,7,28,0,0.0%
479,Gerald McCoy\McCoGe99,TAM,30,LDT,14,14,0,1,1,100.0%,-1,-1.0,-1.0,0,79.2,-3.0,-3,2,0,6,11,6.0,24,28,1,3.4%
