,,,,,Games,Games,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Tackles,Tackles,Tackles
Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
288,Devon Kennard\KennDe00,DET,27,LLB,15,15,0,8,5,62.5%,40,8.0,5.0,0,75.0,0.0,-5,45,61,13,5,7.0,25,46,3,6.1%
289,Ryan Kerrigan*\KerrRy00,WAS,30,ROLB,16,16,0,5,2,40.0%,21,10.5,4.2,0,52.9,5.0,1,20,32,12,4,13.0,30,43,2,4.4%
290,Marcus Maye\MayeMa00,NYJ,25,FS,6,6,1,13,7,53.8%,101,14.4,7.8,2,86.9,14.4,64,37,1,0,0,0.5,1,34,5,12.8%
291,Nicholas Morrow\MorrNi00,OAK,23,LLB,16,5,0,27,20,74.1%,177,8.9,6.6,0,91.1,1.1,13,164,15,2,1,1.0,4,43,9,17.3%
292,Denzel Perryman\PerrDe00,LAC,26,MLB,9,9,1,28,15,53.6%,167,11.1,6.0,2,80.5,4.8,71,96,4,2,1,0.0,3,51,9,15.0%
293,D.J. Reed\ReedD.00,SFO,22,,15,2,0,16,14,87.5%,122,8.7,7.6,1,119.3,9.3,61,61,8,2,0,1.0,3,41,5,10.9%
294,Richard Sherman\SherRi00,SFO,30,LCB,14,14,0,39,24,61.5%,287,12.0,7.4,1,92.6,11.9,200,87,1,0,0,1.0,1,37,2,5.1%
295,Preston Smith\SmitPr00,WAS,26,LOLB,16,16,1,12,9,75.0%,36,4.0,3.0,0,42.4,2.0,12,24,32,12,9,4.0,26,53,9,14.5%
296,Tavon Wilson\WilsTa00,DET,28,,15,3,0,21,13,61.9%,126,9.7,6.0,1,94.5,7.9,82,44,3,0,0,1.0,1,36,4,10.0%
297,Ahkello Witherspoon\WithAh00,SFO,23,RCB,14,12,0,78,43,55.1%,493,11.5,6.3,7,104.3,12.4,329,164,1,0,0,0.0,0,37,5,11.9%
298,Daryl Worley\WorlDa00,OAK,23,LCB,10,9,1,38,22,57.9%,272,12.4,7.2,4,104.3,11.4,220,52,0,0,0,0.0,0,33,9,21.4%
299,Andrew Adams\AdamAn00,TAM,26,,13,4,4,39,23,59.0%,264,11.5,6.8,0,39.9,9.4,179,85,3,0,1,0.0,1,38,8,17.4%
300,Kyler Fackrell\FackKy00,GNB,27,rolb,16,7,0,10,4,40.0%,30,7.5,3.0,0,47.9,7.5,7,23,41,6,1,10.5,18,42,7,14.3%
